gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,sic,at,lt,lct,act,che,invt,rect,sale,cogs,oiadp,ni,ib,year,current_ratio,quick_ratio,debt_ratio,roe,gross_margin,net_margin,inventory_turnover,receivables_turnover
001690,1993-09-30,1993,INDL,C,D,STD,3663,5171.412,3145.034,2515.202,4338.355,892.303,1506.638,1381.946,7976.954,5082.721,431.194,86.589,86.589,1993,1.7248535107716991,1.1258407873403407,0.6081576946489663,0.04273092187143761,0.36282433119208163,0.010854895239461078,3.373551576423799,5.772261723685296
001690,1993-09-30,1993,INDL,C,D,STD,3663,5171.412,3145.034,2515.202,4338.355,892.303,1506.638,1381.946,7976.954,5082.721,431.194,86.589,86.589,1993,1.7248535107716991,1.1258407873403407,0.6081576946489663,0.04273092187143761,0.36282433119208163,0.010854895239461078,3.373551576423799,5.772261723685296
001690,1994-09-30,1994,INDL,C,D,STD,3663,5302.746,2919.445,1944.305,4476.452,1257.856,1088.434,1581.347,9188.748,6676.957,395.419,310.178,310.178,1994,2.3023404249847634,1.7425342217399018,0.5505534302416144,0.13014638100684722,0.2733550860247772,0.03375628540471455,6.134461988508261,5.810709477426523
001690,1994-09-30,1994,INDL,C,D,STD,3663,5302.746,2919.445,1944.305,4476.452,1257.856,1088.434,1581.347,9188.748,6676.957,395.419,310.178,310.178,1994,2.3023404249847634,1.7425342217399018,0.5505534302416144,0.13014638100684722,0.2733550860247772,0.03375628540471455,6.134461988508261,5.810709477426523
001690,1995-09-30,1995,INDL,C,D,STD,3663,6231.0,3330.0,2325.0,5224.0,952.0,1775.0,1931.0,11062.0,8077.0,661.0,424.0,424.0,1995,2.2468817204301077,1.4834408602150537,0.5344246509388542,0.14615649775939332,0.26984270475501715,0.03832941601880311,4.5504225352112675,5.728638011393061
001690,1995-09-30,1995,INDL,C,D,STD,3663,6231.0,3330.0,2325.0,5224.0,952.0,1775.0,1931.0,11062.0,8077.0,661.0,424.0,424.0,1995,2.2468817204301077,1.4834408602150537,0.5344246509388542,0.14615649775939332,0.26984270475501715,0.03832941601880311,4.5504225352112675,5.728638011393061
001690,1996-09-30,1996,INDL,C,D,STD,3663,5364.0,3306.0,2003.0,4515.0,1745.0,662.0,1496.0,9833.0,8709.0,-1204.0,-816.0,-816.0,1996,2.254118821767349,1.923614578132801,0.616331096196868,-0.3965014577259475,0.11430895962575002,-0.08298586392759076,13.15558912386707,6.572860962566845
001690,1996-09-30,1996,INDL,C,D,STD,3663,5364.0,3306.0,2003.0,4515.0,1745.0,662.0,1496.0,9833.0,8709.0,-1204.0,-816.0,-816.0,1996,2.254118821767349,1.923614578132801,0.616331096196868,-0.3965014577259475,0.11430895962575002,-0.08298586392759076,13.15558912386707,6.572860962566845
001690,1997-09-30,1997,INDL,C,D,STD,3663,4233.0,3033.0,1818.0,3424.0,1459.0,437.0,1035.0,7081.0,5595.0,-403.0,-1045.0,-1045.0,1997,1.8833883388338835,1.643014301430143,0.7165131112686038,-0.8708333333333333,0.209857364778986,-0.14757802570258438,12.803203661327231,6.841545893719807
001690,1997-09-30,1997,INDL,C,D,STD,3663,4233.0,3033.0,1818.0,3424.0,1459.0,437.0,1035.0,7081.0,5595.0,-403.0,-1045.0,-1045.0,1997,1.8833883388338835,1.643014301430143,0.7165131112686038,-0.8708333333333333,0.209857364778986,-0.14757802570258438,12.803203661327231,6.841545893719807
001690,1998-09-30,1998,INDL,C,D,STD,3663,4289.0,2647.0,1520.0,3698.0,2300.0,78.0,955.0,5941.0,4351.0,268.0,309.0,309.0,1998,2.432894736842105,2.3815789473684212,0.617160177197482,0.1881851400730816,0.26763171183302475,0.05201144588453122,55.782051282051285,6.220942408376963
001690,1998-09-30,1998,INDL,C,D,STD,3663,4289.0,2647.0,1520.0,3698.0,2300.0,78.0,955.0,5941.0,4351.0,268.0,309.0,309.0,1998,2.432894736842105,2.3815789473684212,0.617160177197482,0.1881851400730816,0.26763171183302475,0.05201144588453122,55.782051282051285,6.220942408376963
001690,1999-09-30,1999,INDL,C,D,STD,3663,5161.0,2057.0,1549.0,4285.0,3226.0,20.0,681.0,6134.0,4353.0,386.0,601.0,601.0,1999,2.7663008392511297,2.7533892834086506,0.39856616934702577,0.19362113402061856,0.2903488751222693,0.09797848059993479,217.65,9.00734214390602
001690,1999-09-30,1999,INDL,C,D,STD,3663,5161.0,2057.0,1549.0,4285.0,3226.0,20.0,681.0,6134.0,4353.0,386.0,601.0,601.0,1999,2.7663008392511297,2.7533892834086506,0.39856616934702577,0.19362113402061856,0.2903488751222693,0.09797848059993479,217.65,9.00734214390602
001690,2000-09-30,2000,INDL,C,D,STD,3663,6803.0,2696.0,1933.0,5427.0,4027.0,33.0,953.0,7983.0,5733.0,620.0,786.0,786.0,2000,2.8075530263838595,2.7904811174340405,0.39629575187417315,0.19138056975894813,0.2818489289740699,0.09845922585494175,173.72727272727272,8.376705141657922
001690,2000-09-30,2000,INDL,C,D,STD,3663,6803.0,2696.0,1933.0,5427.0,4027.0,33.0,953.0,7983.0,5733.0,620.0,786.0,786.0,2000,2.8075530263838595,2.7904811174340405,0.39629575187417315,0.19138056975894813,0.2818489289740699,0.09845922585494175,173.72727272727272,8.376705141657922
001690,2001-09-30,2001,INDL,C,D,STD,3663,6021.0,2101.0,1518.0,5143.0,4336.0,11.0,466.0,5363.0,4026.0,-333.0,-25.0,-37.0,2001,3.388010540184453,3.380764163372859,0.3489453579139678,-0.006377551020408163,0.24930076449748276,-0.004661570016781652,366.0,11.508583690987125
001690,2001-09-30,2001,INDL,C,D,STD,3663,6021.0,2101.0,1518.0,5143.0,4336.0,11.0,466.0,5363.0,4026.0,-333.0,-25.0,-37.0,2001,3.388010540184453,3.380764163372859,0.3489453579139678,-0.006377551020408163,0.24930076449748276,-0.004661570016781652,366.0,11.508583690987125
001690,2002-09-30,2002,INDL,C,D,STD,3663,6298.0,2203.0,1658.0,5388.0,4337.0,45.0,565.0,5742.0,4021.0,46.0,65.0,65.0,2002,3.249698431845597,3.2225572979493364,0.3497935852651635,0.015873015873015872,0.2997213514454894,0.011320097526994078,89.35555555555555,10.16283185840708
001690,2002-09-30,2002,INDL,C,D,STD,3663,6298.0,2203.0,1658.0,5388.0,4337.0,45.0,565.0,5742.0,4021.0,46.0,65.0,65.0,2002,3.249698431845597,3.2225572979493364,0.3497935852651635,0.015873015873015872,0.2997213514454894,0.011320097526994078,89.35555555555555,10.16283185840708
001690,2003-09-30,2003,INDL,C,D,STD,3663,6815.0,2592.0,2357.0,5887.0,4566.0,56.0,950.0,6207.0,4387.2,25.0,69.0,68.0,2003,2.4976665252439543,2.473907509546033,0.38033749082905355,0.01633909542978925,0.29318511358144034,0.011116481391976801,78.34285714285714,6.5336842105263155
001690,2003-09-30,2003,INDL,C,D,STD,3663,6815.0,2592.0,2357.0,5887.0,4566.0,56.0,950.0,6207.0,4387.2,25.0,69.0,68.0,2003,2.4976665252439543,2.473907509546033,0.38033749082905355,0.01633909542978925,0.29318511358144034,0.011116481391976801,78.34285714285714,6.5336842105263155
001690,2004-09-30,2004,INDL,C,D,STD,3663,8050.0,2974.0,2680.0,7055.0,5464.0,101.0,1050.0,8279.0,5870.5,349.0,276.0,276.0,2004,2.6324626865671643,2.5947761194029852,0.3694409937888199,0.054373522458628844,0.2909167773885735,0.03333735958449088,58.12376237623762,7.884761904761905
001690,2004-09-30,2004,INDL,C,D,STD,3663,8050.0,2974.0,2680.0,7055.0,5464.0,101.0,1050.0,8279.0,5870.5,349.0,276.0,276.0,2004,2.6324626865671643,2.5947761194029852,0.3694409937888199,0.054373522458628844,0.2909167773885735,0.03333735958449088,58.12376237623762,7.884761904761905
001690,2005-09-30,2005,INDL,C,D,STD,3663,11551.0,4085.0,3484.0,10300.0,8261.0,165.0,1312.0,13931.0,9722.3,1650.0,1335.0,1335.0,2005,2.9563719862227327,2.9090126291618827,0.35364903471560905,0.17881060809000804,0.3021104012633695,0.09582944512238892,58.9230303030303,10.618140243902438
001690,2005-09-30,2005,INDL,C,D,STD,3663,11551.0,4085.0,3484.0,10300.0,8261.0,165.0,1312.0,13931.0,9722.3,1650.0,1335.0,1335.0,2005,2.9563719862227327,2.9090126291618827,0.35364903471560905,0.17881060809000804,0.3021104012633695,0.09582944512238892,58.9230303030303,10.618140243902438
001690,2006-09-30,2006,INDL,C,D,STD,3663,17205.0,7221.0,6471.0,14509.0,10110.0,270.0,2845.0,19315.0,13507.2,2453.0,1989.0,1989.0,2006,2.2421573172616287,2.2004326997372896,0.41970357454228424,0.19921875,0.3006885840020709,0.1029769609112089,50.02666666666667,6.789103690685413
001690,2006-09-30,2006,INDL,C,D,STD,3663,17205.0,7221.0,6471.0,14509.0,10110.0,270.0,2845.0,19315.0,13507.2,2453.0,1989.0,1989.0,2006,2.2421573172616287,2.2004326997372896,0.41970357454228424,0.19921875,0.3006885840020709,0.1029769609112089,50.02666666666667,6.789103690685413
001690,2007-09-30,2007,INDL,C,D,STD,3663,25347.0,10815.0,9299.0,21956.0,15386.0,346.0,4029.0,24006.0,15555.0,4409.0,3496.0,3496.0,2007,2.361114098290139,2.323905796322185,0.4266777133388567,0.24057252958987063,0.35203699075231193,0.1456302591018912,44.956647398843934,5.958302308265078
001690,2007-09-30,2007,INDL,C,D,STD,3663,25347.0,10815.0,9299.0,21956.0,15386.0,346.0,4029.0,24006.0,15555.0,4409.0,3496.0,3496.0,2007,2.361114098290139,2.323905796322185,0.4266777133388567,0.24057252958987063,0.35203699075231193,0.1456302591018912,44.956647398843934,5.958302308265078
001690,2008-09-30,2008,INDL,C,D,STD,3663,39572.0,18542.0,14092.0,34690.0,24490.0,509.0,4704.0,32479.0,20898.0,6275.0,4834.0,4834.0,2008,2.4616803860346295,2.4255606017598637,0.468563630850096,0.22986210175939134,0.35656885987869086,0.14883463160811602,41.05697445972495,6.9045493197278915
001690,2008-09-30,2008,INDL,C,D,STD,3663,39572.0,18542.0,14092.0,34690.0,24490.0,509.0,4704.0,32479.0,20898.0,6275.0,4834.0,4834.0,2008,2.4616803860346295,2.4255606017598637,0.468563630850096,0.22986210175939134,0.35656885987869086,0.14883463160811602,41.05697445972495,6.9045493197278915
001690,2009-09-30,2009,INDL,C,D,STD,3663,47501.0,15861.0,11506.0,31555.0,23464.0,455.0,5057.0,42905.0,24999.0,11740.0,8235.0,8235.0,2009,2.7424821832087605,2.702937597775074,0.3339087598155828,0.2602718078381795,0.41734063628947676,0.1919356718331197,54.94285714285714,8.484279216927032
001690,2009-09-30,2009,INDL,C,D,STD,3663,47501.0,15861.0,11506.0,31555.0,23464.0,455.0,5057.0,42905.0,24999.0,11740.0,8235.0,8235.0,2009,2.7424821832087605,2.702937597775074,0.3339087598155828,0.2602718078381795,0.41734063628947676,0.1919356718331197,54.94285714285714,8.484279216927032
001690,2010-09-30,2010,INDL,C,D,STD,3663,75183.0,27392.0,20722.0,41678.0,25620.0,1051.0,9924.0,65225.0,38609.0,18385.0,14013.0,14013.0,2010,2.0112923462986196,1.9605733037351607,0.36433768272082784,0.2932142035111213,0.4080643924875431,0.21484093522422384,36.73549000951475,6.572450624748085
001690,2010-09-30,2010,INDL,C,D,STD,3663,75183.0,27392.0,20722.0,41678.0,25620.0,1051.0,9924.0,65225.0,38609.0,18385.0,14013.0,14013.0,2010,2.0112923462986196,1.9605733037351607,0.36433768272082784,0.2932142035111213,0.4080643924875431,0.21484093522422384,36.73549000951475,6.572450624748085
001690,2011-09-30,2011,INDL,C,D,STD,3663,116371.0,39756.0,27970.0,44988.0,25952.0,776.0,11717.0,108249.0,62609.0,33790.0,25922.0,25922.0,2011,1.6084376117268502,1.5806936002860208,0.34163150613125265,0.3383410559289956,0.42162052305333075,0.2394664153941376,80.68170103092784,9.238627635060169
